,subject_after_pipeline,text_after_pipeline,label
2925,monthli budget actual comparison report texa,daren attach texa monthli budget actual comparison report june juli august pleas contact question thank elizabethelizabeth webbelizabeth webb enron,0
2926,first deliveri helmerich payn,vanc deal creat enter sitara bobvanc taylor pmto robert cotten hou ect ectcc juli meyer hou ect ect lisa hess hou ect ect cynthiahakemack hou ect ect susan smith hou ect ect donald preinhardt hou ect ect melissa grave hou ect ectsubject first deliveri helmerich paynebob follow product line ticket creat andent sitara base follow counterparti meter volum price period global helmerich payn inc mmbtu less fyi susan creat submit commit reserv firm ticket theremain term deal begin month march addit produc svc deal track wellheadportfolio attach gather contract thank vltx forward vanc taylor hou ect esther buckley pmto molli carrier hou ect ect clem cernosek hou ect ect donnaconsemiu hou ect ect robert cook hou ect ect howard camp hou ect ect lisa hess hou ect ect nathan hlavati hou ect ect wayn elightfoot hou ect ect jame mckay hou ect ect mari smith hou ect ect steve hpl schneider hou ect ect melissa grave hou ect ect michaelwalt hou ect ect eric wardl hou ect ect jill zivley hou ect ect maryjo johnson hou ee ee rita wynn hou ect ect lauri allen hou ect ect cheryl jone gpgfin enron enron reid hansen gco enron enron darron cgiron hou ect ect neal winfre hou ect ect susan smith hou ect ect gari bryan hou ect ect gari hank hou ect ect donald preinhardt hou ect ect vanc taylor hou ect ect davidbaumbach hou ect ect robert cotten hou ect ect brian riley hou ect ect jeff austin hou ee ee cynthia hakemack hou ect ect dawn ckenn hou ect ect lisa csiko hou ect ect kristen hanson hou ect ect rfosdick gco enron enron carlo rodriguez hou ect ect stephaniegom hou ect ect pat clyne corp enron enron tom acton corp enron enron robert walker hou ect ect georg weissman hou ect ect joanneharri enron enron christi sweeney hou ect ect earl tisdal hou ect ect daren farmer hou ect ectcc subject first deliveri helmerich paynese attach letter,0
2927,cornhusk,meant copi guy forward sandi braband hou ect sandi braband amto garrick hill hou ect ectcc dan lyon hou ect ectsubject cornhuskerrick bob hall daren farmer met thursday regard fee veryrough draft done plan revis edit today tomorrow spoke dan lyon yesterday regard issu thesuppli contract concern agre need look intothem addit bob hall daren thought might use abrief tutori structur transact gener partiesinvolv correct legal name relationship enron danlyon volunt give tutori availableuntil earli next week meet discuss suppli contractissu well call question sandiext garrick hill amto sandi braband hou ect ect daren farmer hou ect ect johngriffith corp enron enroncc charl ward corp enron enron john king hou ect ect mikemazowita corp enron enronsubject cornhuskerwher ga agreement cleburn plant,0
2928,,pleas extend sale lockhart southern union two extra day atth price thank janet forward janet walli hou ect jacki young amto janet walli hou ect ectcc subject pleas extend deal cover flow decatherm flow decatherm flow thank jacki,0
2929,intern guest passowrd,darren set password intern websit access atwww enrononlin password follow eol password welcom pleas password need upper case pleas feel free contact question problem gettinginto system thankstarax,0
2930,enron hpl actual januari,flow,0
2931,switzerland,hiswiss pharm ring bell mind curiou read heart switzerland onlin storecarri wide assort medicin lax law ask question leav discretionup individu iron clad swiss privaci secur law allow completesafeti person inform weekli special includ pain klller sleep aid amb val sexx aid ship around world quickli discretley hope enjoy product bulk discount mid larg ordershttp shaun net shaunregardsshaun conklintrust tri provendid reach error pleas let know contact email discardedhttp shaun net php,1
2932,revis enron hpl actual june,june teco tap enron hpl ifercshould teco tap enron hpl iferc,0
2933,pharma,stop wast money prescript drug onlin vlagra clali zyban prozac xenlcal mani mani stop pay today special viagra retail price price ciali retail price price ship world wideno prescript requiredvisit unsubscrib onnliin php,1
2934,section,know sent redmond case origin messag hull bryansent tuesday august amto redmond briansubject section brian pretti good explan case thu far commission wood awar conflict epgt southern union probabl lobbi southern union rais issu southern union state initi brief oppos high demand rate say epgt propos charg servic incorpor consum protect order argu ferc impos order standard watch video stream meet whole discuss seem come nowher fact case decemb texa pipelin predecessor epgt texa pipelin file petit ferc approv transport rate section along requir intrast pipelin perform section servic must either rate approv ferc must charg rate approv state regulatori bodi similar servic file propos addit usual interrupt servic firm section servic well interrupt park lend servic file revis statement oper condit reflect new servic februari southern union ga compani intrast transport custom file late motion interven rais issu state address hear oppos late intervent ferc grant april state southern union interven order gain leverag renegoti contract intrast servic southern union submit data request april april attempt protect order issu ferc reject request settlement confer held septemb staff panel conven octob order conduct advisori non evidentiari proceed oral argument issu instruct make recommend commiss within day novemb ferc request page addit inform order complet applic proceed provid novemb decemb provid addit inform respons ferc data request januari southern union submit propos altern cost servic rate design file januari paso field servic inform ferc texa pipelin acquir paso decemb name chang epgt texa pipelin januari epgt texa southern union file initi brief juli epgt file supplement comment respons discuss ferc summar commission wood inquir extens order provis section servic provid epgt state ferc proce polici gener rulemak individu pipelin proceed juli southern union file repli comment oppos epgt supplement comment august epgt file amend statement oper condit provid electron nomin two addit nomin cycl bump clarifi updat credit provis modifi qualiti provis protect system integr clearli defin author overrun servic ngpa give ferc author intrast pipelin rate section servic requir servic provid non discriminatori basi question whether give ferc author requir exampl complianc order no pleas let know enough detail mayb want,0
2935,coastal oil ga corpor,daren fyi bob forward robert cotten hou ect enron north america corp melissa grave amto robert cotten hou ect ectcc hillari mack corp enron enron donald reinhardt hou ect ect susansmith hou ect ect vanc taylor hou ect ect brian riley hou ect ectsubject coastal oil ga corporationalbrecht wellmet goliad txbob hplc purchas wellhead ga produc list theproduct month august product purchas spot basi deal ticket creat enter sitara base onth follow inform counterparti meter volum pricecoast oil ga corpor albrecht well mmbtu gasdailyaddit produc svc deal track imwellhead portfolio attach gather contract thank melissa forward melissa grave hou ect enron north america corp melissa grave pmto hillari mack corp enron enroncc robert cotten hou ect ectsubject coastal oil ga corporationalbrecht wellmet goliad txhillari see answer thank melissa forward melissa grave hou ect joann wagstaff enron pmto melissa grave hou ect ectcc robert cotten hou ect ectsubject coastal oil ga corporationalbrecht wellmet goliad txmelissa confirm email bob walker name thecounterparti albrecht well coastal oil ga corp pleas let know question thank joannex melissa grave ect amto joann wagstaff enron enroncc robert cotten hou ect ectsubject coastal oil ga corporationalbrecht wellmet goliad txjoann confirm counterparti name pleas thank melissa forward melissa grave hou ect enron north america corp robert cotten amto melissa grave hou ect ectcc subject coastal oil ga corporationalbrecht wellmet goliad txmelissa hillari mack call follow deal believ thecounterparti coastal oil ga usa rather coastal oil ga corp pleas advis thank bob forward robert cotten hou ect enron north america corp robert cotten amto melissa grave hou ect ectcc daren farmer hou ect ect neal winfre hou ect ect susansmith hou ect ect vanc taylor hou ect ect georg weissman hou ect ect hillari mack corp enron enron amelia alland hou ect ectsubject coastal oil ga corporationalbrecht wellmet goliad txmelissa deal ticket creat enter sitara bobenron north america corp melissa grave pmto robert cotten hou ect ectcc donald reinhardt hou ect ect susan smith hou ect ect vanc ltaylor hou ect ect georg weissman hou ect ect hillarymack corp enron enron amelia alland hou ect ectsubject coastal oil ga corporationalbrecht wellmet goliad txbob per georg note hplc purchas wellhead ga theproduc list product month juli product willb purchas spot basi deal ticket creat andent sitara base follow inform counterparti meter volum pricecoast oil ga corpor albrecht well mmbtu mmbtu thru mmbtu hscaddit produc svc deal track imwellhead portfolio attach gather contract thank melissa forward melissa grave hou ect enron north america corp georg weissman pmto melissa grave hou ect ect shawna flynn hou ect ectcc sandi braband hou ect ect robert walker hou ect ect vicentesarmiento gco enron enron brian riley hou ect ect lauri aallen hou ect ectsubject coastal oil ga corporationalbrecht wellmet goliad txmelissa base attach contract prepar request spot gtc thecoast oil theleg depart prepar current circul ratif andcons assign document reflect transact spot gtc request herein cover ga albrecht well albrecht cover well currentlysubject subject spot gtc shawna pleas prepar termin letter request georg forward georg weissman hou ect debbi boudar enron pmto georg weissman hou ect ectcc robert walker hou ect ect vicent sarmiento gco enron enron brian mriley hou ect ectsubject coastal oil ga corporationalbrecht wellmet goliad txin regard meter follow inform beenabl determin inform avail question determin own meter contact molli carrier onmonday return hpl fifti easement locat containlanguag appurten right within pull meter file locat prepar duringproject rock contain facil agreement assumingon locat hope help georg weissman ect amto debbi boudar enron enroncc robert walker hou ect ect vicent sarmiento gco enron enron brian mriley hou ect ectsubject coastal oil ga corporationalbrecht wellmet goliad txdebbi meter locat sta plu align dwg ingoliad connect facil agreement request wene know follow own meter hplc oper easement access right way meter station knowledg facil agreement place cover thismet locat agreement record thank georg forward georg weissman hou ect enron north america corp georg weissman amto shawna flynn hou ect ectcc robert walker hou ect ect brian riley hou ect ect vicentesarmiento gco enron enron melissa grave hou ect ect lalechterhoff hou ect ect jame haden hou ect ectsubject coastal oil ga corporationalbrecht wellmet goliad txshawna attach contract prepar request facil agreement thecoast oil theleg depart prepar current circul ratif andcons assign document reflect transact unabl locat exist facil agreement previous drill well suspect agreement exist facil agreement request herein intend cover alterationsto made exist meter instal monitor necessaryvalv allow hplc accept ga newli drill albrecht well monitor instal albrecht well readi toflow intend paper purchas ga albrecht well onlyvia spot confirm pursuant spot gtc albrecht becov well current subject besubject spot gtc coastal reimburs hplc cost instal georg forward georg weissman hou ect enron north america corp georg weissman pmto lal echterhoff hou ect ect pat flavin gco enron enroncc brian riley hou ect ect jill zivley hou ect ect vicentesarmiento gco enron enron jame haden hou ect ect donniemccab gco enron enron mark walch gco enron enron steve hplschneider hou ect ectsubject coastal oil ga corporationalbrecht wellmet goliad txlal intend attempt connect mmbtu new product fromth newli drill coastal oil may meter flow mmbtu ga content albrecht ga accord field ga analysisprepar coastal oil albrecht contenti similar three well current produc mmbtu behindmet miller albrecht unit hoff heller ga unit coastal purport time itspredecessor mjg corp treat three well mannersuffici reduc content deliv hplc permissiblelevel coastal indic intend reduc scontent albrecht permiss level deliv tohplc opinion coastal forc instal monitorfor new ga prior flow hplc georg forward georg weissman hou ect christi sweeney pmto lisa hess hou ect ectcc brian riley hou ect ect georg weissman hou ect ect melissagrav hou ect ect joann wagstaff enron enron heidi wither hou ect ectsubject transport request coastal albrecht goliad counti txlisa attach physic well connect form includ transport quotesheet coastal albrecht well goliad counti pleaseprovid transport quot attach quot gave usin april volum day head way map show well locat relat tou teja koch tetco pleas note fuel thank christi forward christi sweeney hou ect enron north america corp lisa hess amto brian riley hou ect ectcc lauri allen hou ect ect mari smith hou ect ect heidiwith hou ect ect melissa grave hou ect ect georg weissman hou ect ect susan smith hou ect ect donald reinhardt hou ect ect vanc ltaylor hou ect ect lisa hess hou ect ect lisa hess hou ect ectsubject mjg inc meter cokino meter brian transport rate meter mjg meter year quot april rel avg loc densiti qualiti market adjust less discount market fee pleas call question comment lisa,0
2936,,daren meter flow flow first twoday month sitara deal deal end pleas see deal extend ga placedon stranger thank jacki,0
2937,calpin daili ga nomin,juliann chanc thatth unit mainten might start even earli tomorrow updat soon receiv inform thank ricki archerfuel suppli louisiana suit houston texa direct fax calpin daili ga nomin doc,0
2938,hpl meter taft plant resid arco hpl,daren meter record flow mmbtu dealsat meter march april may logist need approvalto writeoff volum unaccount ga pleas print sign andreturn origin clem cernosek approv writeoff volum unaccount ga lossthank clem cernosek,0
2939,duke cashout entri,take account price adjust made actual purchasecashout price took care thecashout still balanc deliveri price per mmbtuin contract differ hsc spot hsc index sogd quit cover entir cashout attach calcsheet case need megan,0
2940,deal extend,deal end june addit flow meter fromth thru extend deal thru ican vol manag creat account arrang arenot person need contact let know need totalk,0
2941,nom teco tap actual,forward melissa jone texa util kponton duke energi amto david avila lsp enserch charli stone texa util melissajon texa util tucc subject nom actual flow nom mmbtu sactual flow mmbtu salso discuss hpl enron yesterday lst showingactu flow rate mmbtu wherea show mmbtu actual flow pleas verifi volum hpl enron thank eileen,0
2942,natur ga nomin,enron methanol nomin follow requir methanol plantfor februari mmbtu per dayegpfc nomin follow requir mtbe plant morgan spoint februari mmbtu per day,0
2943,remain meter varianc,last one shawne spring meter purchas torch deal ticket expir septemb beenalloc nov think torch cleco shouldb purch meter last two done mari,0
2944,mobil beaumont marol,rebeccafor mobil march begin march hpl start deliv midcon dec jan mayb feb check daren farmer readi flash invoic first confirm midcon volum amount datesthank lee,0
2945,natur ga nomin februari,enron methanol nomin follow natur ga requir themethanol plant februari mmbtu per dayegpfc nomin follow natur ga requir mtbe plant atmorgan point februari mmbtu per day,0
2946,enron hpl actual januari,januari teco tap enron,0
2947,monday even ga flow,daren memo rec today contact lyondel john allen referenc meter ga pressur problem last night thought might use inform thank jacki forward jacki young hou ect allen john amto young jacki subject monday even ga flow origin messag john allen smtp allen hotmail sent monday march roger maak lyondel citgo john allen lyondel citgo toni cucinotta lyondel citgo gmason noram david rasco lyondel citgo greg wilson lyondel citgo subject monday even ga flow natur ga pressur issu attribut hpl valu north one oper south one leak bellow determin altern suppli pressur contract readili avail normal work hour hpl technician determin abl make repair line oper necessari request shut condit take longer make repair technician abl control pressur south valv repair north valv hpl agre util depart request technician leav lcr facil even time valv oper,0
2948,rocket schedul,schedul attach remind day advanc let youknow game ticket laura,0
2949,first deliveri safari product,vanc deal creat enter sitara bobvanc taylor pmto robert cotten hou ect ectcc juli meyer hou ect ect cynthia hakemack hou ect ect lisahess hou ect ect susan smith hou ect ect donald reinhardt hou ect ect melissa grave hou ect ectsubject first deliveri safari productionbob follow product line ticket creat andent sitara base follow counterparti meter volum price period global safari product compani mmbtu ga daili fyi creat submit commit reserv firm ticket theremain term deal begin month march addit produc svc deal track wellheadportfolio attach gather contract thank vltx,0
2950,gasper rice resourc ltd,vanc sitara deal ticket number creat enter base thefollow inform bobvanc taylor pmto robert cotten hou ect ect tom acton corp enron enroncc juli meyer hou ect ect stephani gome hou ect ectsubject bob tomsamson lone star reduc work interest contract effect remain work interest sold togasp rice ltd hplc amend ratifi contract effect contract current primari term thru thevolum alloc samson lone star began evergreen statuscommenc base aforement inform pleas creat sitara deal ticketfor follow counterparti meter volum price periodgasp rice ltd lmmbtu hsc thank vltx,0
2951,lower colorado river author,origin messag gmweissman aep enron mailto imceanot gmweissman aep ecom enron enron sent friday august pmto martin thoma subject lower colorado river authoritygeorg aep floor pager forward georg weissman hol aepin georg weissman mbell lcra org brian riley hol aepin aepin tom martin enron melissa grave hol aepin aepin bcc donald reinhardt hol aepin aepin gerald lofton hol aepin aepin jerri bubert hol aepin aepin susan smith hol aepin aepin vanc taylor hol aepin aepin janet freeman aepin aepin michael morri hol aepin aepin brian riley hol aepin aepin sandi braband aepin aepin jame ducot hol aepin aepin subject lower colorado river authorityto mickey bellp box lake austin blvd austin confirm telephon convers earlier today advis octob contract sale natur ga lower colorado river author buyer enron capit pager imag,0
2952,oto,offic thru vacat anyquest mike olsen ext point person desk behandl bob bmarcreat send nomsbridg back hpl hpl enamik carhtag hubdevonbmar back hpl poolsbp amococentana storag hpl meter tom tufcopath hpl ena,0
2953,evergreen deal,look comment juliedaren farmer pmto juli meyer hou ect ectcc subject evergreen dealsjuli need know follow deal evergreen provis roll intojan cokino gtc firm contract deal expir withcontractcokino gtc spotcor singl transact contract needto check traderencina ye commit reserv mark theevergreen flag midcoast gtc lst purchas deal expir contract unit deal move wellhead portfoliofor januari deal termin per legal vintag right deal number thank,0
2954,meter,daren flow referenc meter without deal flow forth first day probabl occur meter processof shut purchas ga torch ralli partnership insept extend deal alloc stranger pleas advis mari,0
2955,perform feedback,chosen one direct report providemid year feedback want urg provid asap asmi prc meet wil even though feedback system open need feedback friday use theweek end readi although prefer feedback thesystem find bind time pleas provid meyour feedback verbal either voicemail mark privat wouldb happi meet know receiv mani request sincer appreciateconstruct feedback thank advanc input,0
2956,great qualiti pictur free megapixel canon camera,,1
2957,enron hpl nom wednesday aug,see attach file hplo xl hplo xl,0
2958,txu fuel decemb,sheet move around volum order keep enroncontract whole pleas call question thank ami joani ngo ect amto ami chokshi corp enron enroncc subject txu fuel decemberami done pleas send alloc spreadsheet thankyou forward joani ngo hou ect daren farmer pmto joani ngo hou ect ectcc subject txu fuel decemberami chokshi send final djoani ngo pmto daren farmer hou ect ectcc subject txu fuel decemberpl send spreadsheet thank,0
2959,nom chang effect may marshal hpl meter,forward tom acton corp enron suzann saldivar eogresourc pmto charlott hawkin enron comcc tacton enron crodrig enron comsubject nom chang effect may marshal hpl meter due loss product marshal leas nom chang mmbtu hpl meter deliveri hpl thompsonvil meter effect may pleas call question thank,0
2960,mgi suppli,forward elsa villarr hou ect nicol enron amto elsa villarr hou ect ectcc subject mgi supplyhumbl ga pipelin elsa inform bill anyth hgpl supervisor talk topriscilla hamic inform hgpl bill offsystem andnot texa desk deal sitara relat hgpl state thatit texa desk pleas let know bill mgi suppli hgpl volum thank help nicol,0
2961,nineteen year nola fuck,scri swore comedycontract abbott conductancecautionaryblocki reptiliangalatia pragmat executrixkettleaberr destroyissu parliamentari subsidiaryworkbookevas stroboscop claimconciliatejudic attitudedamon conveni reputationunwieldyabb silagedaydream jibe bronchusoffenbachbreach borneofourfold exult tensorjuleseosin adaklux theori estuarineintractablesad sleepysnip drunken ditchoctennialprecess disturbancewarsaw casework pharmaceuticdelphicdistribut billfoldautonomi bespeak citizenryninevehretort dukeadmir harmonica inviteblanksalutari toteplacehold omit croquetsourberryperus discerndearth backspac storytellersandrahierarch hollisterdrast berra epiphysishorizontalchest desecr carolinianmetamorphoseaccipit genescoexagger nymph duplicatefellquasicontinu specimenwhitehead timeshar patinacherylch chubbycrappi buttonwe censorialbumblebe,1
2962,hpl nom april,see attach file hplno xl hplno xl,0
2963,enron hpl actual august,teco tap hpl iferc enronl hpl lsk enron,0
2964,regard wamu check account urgent updat,secur key xqedrekrfihdear wamu custom regret inform block wamu account notifi account may compromis outsid parti term condit agre state account must alway control design time notic activ relat account indic parti may access control inform account parti past involv money launder illeg drug terror variou feder titl violat order may access account must verifi ident click link submit pleas donot access onlin bank account next hour verif process end sincer wamu combusi develop group note request inform initi wamu busi develop group process extern expedit custom support qvvod kkwjizqotyyj ahochuzmlzgkxmzcp taolvmll,1
2965,addit famili,jennif happi announc birth makenzi reigh glover born may weigh pound ounc inch long mother babi fine send pictur later time see phscare org click new arriv password born presbyterian hospit dalla talk soon rusti,0
2966,hpl meter pasadena plant phillip hpl,daren period meter record flowof mmbtu deal meter month prior current logist volum record hpl stranger gascontract order correct hpl logist need either deal torecord volum flow hpl pipelin logist needsapprov write volum unaccount ga pleas print sign return origin clem cernosek approv write volum unaccount ga lossord deal ticket custom buyer seller thank clem,0
2967,hey guess hard back huh go jake one,babi wipe warmer send art walmart ofthem mayb need someth one toysthat goe bar carrier jake let hear pleas make laci stay phone everi night thatyou shane chanc call want sure misshold jake play cole cole funni tellingeverybodi thing believ yr old igotta busi let know know busi alittl answer let know caus sent one back younev answer last sent shane shelli love maget privat free email hotmail,0
2968,produc connect contract april,thank info heidi alway good second pair eyeswith well done research one hplcdeal put gather contract run bydaren make chang need pleas let know see anythingels take minut check,0
2969,paliourg enl rge penl,cllck best penl enl rgement pillsunsub scrlb,1
2970,revis hpl nom octob,see attach file hplnl xl hplnl xl,0
2971,heck,daren see ken back jeff develop jeff lot bud high place mani chang horizon move new build yet look tour invit kid wife home read work project jen home coupl week head back waco go tour new law school built tobacco settlement money feel contribut four quarter mayb son still florida plan run septemb day mayb disneyworld jeni suppos ticket nebraska game waco year fun speak footbal see one texa team high poll got new toy day sear good sale power washer eye bought patio deck god thought paint mindless work found insur compani fund entir new roof hail damag mess project old roof layov old shake shingl glad rid deck roof know busi let know latest time later ken,0
2972,daren,firm trade waha book set intern counterparti desk desk trade enrononlin follow user password give access live price web site enrononlin user adm password welcom note case sensit pleas keep user password secur allow transact enrononlin contact helpdesk question problem gain access thank stephani,0
2973,hpl nom march,see attach file hplno xl hplno xl,0
2974,sitara releas chang global due consent,assign fyi chang went deal valid group give theabil chang counterparti name bridg back impact logist unifyif counterparti name chang take place deal bridgeback caus problem edi pipe new counterparti namewil flow unifi repath eventu take place one problem may imbal data set productionyet edi imbal qti match path may caus issu schedul quantiti especi wherenomin sent entir month rememb rule one think unifi safeguard idiot proof forc path unifi abil ride dun number yet still causean addit step edi schedul need think orderto clean quick respons impact vol mgt counterparti name chang takeplac prior period path call dian dave speak hope ican clear understand true impact sure need toput process procedur togeth deal valid follow whenthes type chang need keep post thank dgfrom thoma engel amto kathryn cord hou ect ect dana daigl corp enron enron elizabeth lhernandez hou ect ect juli meyer hou ect ect scott palmer hou ect ect stephani sever hou ect ect diann swiber hou ect ect peggyhedstrom cal ect ect diann seib cal ect ectcc sylvia campo hou ect ect linda bryan hou ect ect fayeelli hou ect ect donna consemiu hou ect ect scott mill hou ect ect russseverson hou ect ect martha steven hou ect ect kari hast hou ect ect regina perkin hou ect ect imelda frayr hou ect ect william ekasemervisz hou ect ect hunaid engin hou ect ect stevengullion hou ect ect larrissa sharma hou ect ect donna greif hou ect ectsubject sitara releas chang global due consent assign regard abil chang counterparti deal sitara withconfirm volum tom word caution someon call want chang counterparti creat theabil invalid deal andthen chang counterparti add warn messag warn chang counterparti deal confirm volum make surepipelin allow chang pipelin allow chang counterparti isfeedback assum reasonsw rule use blow old schedul system pre unifi pipelin requir newdeal zero old deal make chang make sure logist person awar justin case caus problem theirpipelin sorri know pipe askth unifi team one rule still place chang ena east ena immarket east fromena texa hplc hplc chang busi unit must beth legal entiti warn legal entiti bewar make contract counterparti chang servic deal transport capac storag cash deal invalid rule forget itemswer lock reason invalid servic deal chang previous lock downdata valid someon use thesed unifi highli like unifi deal path createdus deal corrupt alway checkwith someon unifi make sure one use deal anyth inunifi forward thoma engel hou ect scott mill pmto kathryn cord hou ect ect dana daigl corp enron enron elizabeth lhernandez hou ect ect juli meyer hou ect ect scott palmer hou ect ect stephani sever hou ect ect diann swiber hou ect ectcc steve jackson hou ect ect thoma engel hou ect ect sylvia acampo hou ect ect linda bryan hou ect ect fay elli hou ect ect donnaconsemiu hou ect ectsubject sitara releas chang global due consent assign releas put tuesday even deal valid beabl chang counterparti deal volum someth otherthan expect confirm nomin schedul etc addit releas captur near time contract changesthat made global mean need server bounc benecessari new chang contract show without dealmanag new counterparti new chang facil requir get outof activ sitara app except launch pad app start new app respect inform youar look appear mention near time constrain amount time ittak chang global data trigger alert sitara thenupd informationsrm cyndi balfour flanagan enron pmto conni sutton hou ect ect linda bryan hou ect ect kathryncord hou ect ect scott mill hou ect ect richard elwood hou ect ect davenommensen hou ect ect kenneth harmon hou ect ect danadaigl corp enron enron kathryn cord hou ect ect elizabeth lhernandez hou ect ect juli meyer hou ect ect scott palmer hou ect ect stephani sever hou ect ect diann swiber hou ect ect gaylehorn corp enron enron brant reve hou ect ect russel diamond hou ect ect debbi brackett hou ect ect steve jackson hou ect ectcc subject chang global due consent assignmentth follow chang made global contract databas due toreceipt execut consent assign follow contract current counterparti name contract type contract new counterpartynamec commonwealth energi servic gisb commonwealth energyservicesc samuel gari associ inc gisb samuel gari associatesc south jersey ga compani gisb south jersey ga companycp name chang contract type correct contract type differ thanthat provid ce per cesc southwest ga corpor gisb per contract filec southwest ga corpor master purchas sale interrupt edit global ce southwest ga corpor master sale firm creat newglob record accommod pleas note southwest ga corpor consent assign ofboth contract,0
2975,ga day juli,sent behalf bruce mcmillseffect juli inlet hpl eastransredeliv fcv hpl question pleas call bruce mcmill thank chad cass,0
2976,generalist group,norma villarr generalist brent price group andhector mcloughlin generalist group departmentsund salli beck toni graham recruit salli beck group yvonn la compens specialist salli beck group janet paz admin support person group hope help direct question need servic thefutur,0
2977,conoco big cowboy,darren sure help know ask april may ga path deal conoco gepl big cowboy point conoco say buy ga account hpl big cowboy ga think paid mil month gepl ga know ad gepl meter deal april bought ga someon meter statement teja say suppli compani megan,0
2978,equistar track meter,daren new track sale equistar deal ena contract whole month april sherlyn schumacksr specialistvolum managementphon fax,0
2979,revis hpl nom august,see attach file hplo xl hplo xl,0
2980,deal eol waha,mari poorman pmto pat clyne corp enron enroncc subject deal eol wahaaquila split volum two point deal chang total volum still correct found today staci buy eol need header come pgev hub titletrack agreement previous impress thatwhatev pipelin custom want buy sell fine keep purchas hub agmt save enron transact push imbal fee supplier mari,0
2981,pleo,daren look back cpr deliveri period cpr pipelin exchang see anyth flash imbal buy sale alway equal cpr book imbal everi month park lend contract someth cpr volum let know caus varianc thank forward rita wynn hou ect thu nguyen pmto rita wynn hou ect ectcc subject pleo imbal oct nov dec,0
2982,meet local women,click remov,1
2983,stamp paliourg,hello pro gram rked hate self tri pro gram forward email fri end hate mani peopl possilbl togeth let help clear internet stop ack jun scam rse nbox everi day sic pend valuabl time movi trash ild recei ving inapprolpri dul materi ould know oth solut rksbetter softw return con trol your mail back belo ng ima gine abl read impor tant ailwithout loo king thr ough lic bel vist websit itwww bizchaperon presumpt dwarv gunk crater exasper inop bewhisk nouveau everhart persuas femin auerbach schweitzer cholera dreyfuss dartmouth clifton gaucheri persh calvert ektachrom affect epoch predomin,1
2984,price crosstex,think forward juli meyer hou ect charlen richmond pmto juli meyer hou ect ectcc subject price crosstexjuli crosstex said paid incorrectli deal day thru paid said price,0
2985,deal meter,subject volum revis effect bob,0
2986,duke exchang deal march,purchased appear price pgev index less index less redeliveri let know correct per exchang agreement thank,0
2987,tenaska,pleas chang demand fee deal april need return money tenaska transport expens less etim spreadsheet megan,0
2988,brandywin meter march activ,flow meter month march hm techniciandid contact measur volum zero appar hewil notifi tech theprocess meter set pressur control valv open ga control sunderstand field understand time thebrandywin deal end sort standbi agreement place thisi case pleas let know notifi plant close thevalv robert futur meter small flowvolum without nomin place pleas check earl wecan investig commerci involv thanksgari forward gari hank hou ect lee papayoti pmto gari hank hou ect ect jame mckay hou ect ectcc robert lloyd hou ect ectsubject brandywin meter march activityhow meter set flow march idea isit pressur control set point need know beforei oxi dupont make claim forward lee papayoti hou ect robert lloyd pmto lee papayoti hou ect ectcc daren farmer hou ect ect pat clyne corp enron enron ritawynn hou ect ect howard camp hou ect ectsubject brandywin meter march activityattach support indic ga flow zero nomin themonth march deal place alloc ga flow pleas advis want activ alloc,0
2989,prelminari find deal bridg,matt pena pmto robert superti hou ect ectcc edward terri hou ect ect victor lamadrid hou ect ect patclyn corp enron enron donna greif hou ect ect richard pinion hou ect ect patti sullivan hou ect ect georg smith hou ect ect randal lgay hou ect ect tricia spenc hou ect ect carlo rodriguez hou ect ect tom acton corp enron enronsubject prelminari find deal bridgingi attach spreadsheet show deal bridg unifi fornovemb pleas let alarm bridg alwayswork question discuss pleas let know everi instanc found look okay follow transport ticket pipe deal deal kill deal enter mistak buy sell theinact state unifi deal demand base deal price volum deal point assign zonethank,0
2990,devon transit,effect juli avail beverli beati enron lead operationscontact devon product pleas assembl inform contactal personnel necessari make transit smooth possibl elimin unnecesari mail pleas design one main contact eachof desk backup central desk west desk texa desk canrec distribut nom chang oper inform yourdesk proper schedul question pleas let know thank,0
2991,person,win hang bank ltd castl peak road cheung sha wan kowloon hong kong repli destinyl netscap neti srichai pope credit offic win hang bank ltd urgent andveryconfidenti busi proposit august british consult contractor chines solid mineralscorpor philip brian british citizen made number time fix depositfor twelv calendar month valu thirti eight milliondollar branch upon matur sent aroutin notif hisforward address got repli month sent remind final discov contractemploy hong kong solid miner corpor philip brian die froma boat mishap investig found die without make awil attempt totrac next kin fruitless madefurth investig discov philip brian declar kin orrel offici document includ bank deposit paperwork mybank sum still sit bank interest isb roll princip sum end year one evercom forward claim accord law hong kong expir five year money revert ownership hong konggovern nobodi appli claim fund consequ propos foreign stand thenext kin philip brian fruit old man labor getinto hand corrupt govern offici simpl toprovid immedi full name address attorney prepareth necessari document affidavit put place next ofkin money paid account share ratio meand expens incur cours transact risk paperwork transact done theattorney posit credit offic guarante successfulexecut transact interest pleas repli immedi mailbox destinyl netscap netupon respons provid detail relevantdocu help understand transact pleas send yourconfidenti telephon fax number easi commun shouldobserv utmost confidenti rest assur transact bemost profit requir assist invest myshar countri await urgent repli sincerelymr srichai pope,1
